index,status_group
5946,non functional
60626,functional
26839,functional
58681,non functional
65476,functional needs repair
63687,non functional
57948,non functional
42350,non functional
4526,non functional
51133,functional
12552,functional
64257,non functional
46719,non functional
17219,non functional
14992,non functional
8757,functional
63748,non functional
36067,functional needs repair
59405,functional
15250,non functional
3777,functional
71658,non functional
49862,non functional
21830,non functional
18225,non functional
25165,functional needs repair
22385,functional
4636,functional
35726,functional
31692,functional
47016,functional
53147,non functional
17242,functional
53218,non functional
11811,functional
54548,non functional
26535,non functional
71856,functional
53518,non functional
14701,functional
11447,functional needs repair
23819,non functional
27069,non functional
21064,functional
47102,functional
13734,functional
38220,functional
5060,functional needs repair
29153,functional needs repair
6519,functional
46110,non functional
72474,functional
623,non functional
27561,functional
52067,non functional
6757,functional
28846,functional
13685,functional
55543,functional
63908,functional
23407,non functional
57452,functional
42339,functional
42491,functional
40427,non functional
64144,functional
25220,functional
59031,non functional
32012,functional
35007,non functional
46231,functional
26302,non functional
3873,non functional
1856,functional
19574,functional needs repair
3843,functional
42487,non functional
19869,non functional
5875,non functional
63423,functional
880,functional
28306,non functional
69883,functional
8709,functional
32164,functional
49888,non functional
64333,functional
42959,functional needs repair
37322,functional needs repair
42431,functional
70897,non functional
61759,functional
64031,functional
18488,functional
26856,non functional
56471,functional
8080,functional
35558,functional
63978,non functional
45566,non functional
968,functional
1604,functional needs repair
53188,functional needs repair
5562,functional
10976,non functional
18814,non functional
43732,functional
50383,functional
49431,functional
2940,non functional
12756,functional
15545,functional
71236,functional
26174,non functional
14985,functional
26204,functional
21623,non functional
37757,non functional
59179,functional
47193,non functional
5464,non functional
59694,non functional
3091,functional
37039,non functional
13201,functional
10527,non functional
40666,non functional
47756,non functional
66682,non functional
10065,non functional
38507,functional needs repair
54163,non functional
27790,functional
37114,functional
70237,functional
47075,non functional
61558,functional
38293,functional
23288,non functional
40102,functional
60171,functional
18825,functional
60688,functional
9401,functional
14438,functional
37241,functional
37507,functional
11871,non functional
23465,functional needs repair
46988,functional
35778,non functional
58389,non functional
11695,non functional
65995,functional
8988,functional
12598,functional
34130,non functional
28032,functional
72055,functional needs repair
14727,functional
44120,functional
56277,functional
61169,functional
61060,functional
33006,functional
6988,functional
23156,non functional
54772,non functional
60535,functional
6171,functional
48519,non functional
68894,functional
13987,non functional
21896,functional
25354,functional
24752,functional
61992,non functional
19080,functional
41986,functional
36255,non functional
28016,functional
55033,functional
7296,functional
1817,functional
15975,non functional
2547,functional
24638,functional needs repair
52461,non functional
25243,non functional
28993,functional
18169,functional
18729,functional
40750,non functional
22402,functional needs repair
50841,functional
12656,non functional
21315,functional
73274,non functional
5009,functional
19781,non functional
56226,non functional
69168,functional
43964,functional
72849,non functional
15974,non functional
5071,functional
44480,functional
54327,non functional
58526,functional
41227,non functional
9069,functional
5455,functional
39280,non functional
61476,functional
44578,non functional
46507,functional
68844,non functional
16923,functional
22283,functional
54056,functional
3968,functional
21383,functional
61131,functional needs repair
59071,functional
458,functional
32502,functional
17360,non functional
60873,functional
61750,functional
47384,functional
30758,functional
11249,functional
68770,functional
21946,functional
20011,functional
52980,non functional
41433,non functional
6948,functional
61190,functional
21792,non functional
34375,functional
34298,functional
72359,non functional
60705,non functional
19262,non functional
15666,functional needs repair
24034,functional
7334,non functional
30990,non functional
5968,functional
55164,functional
21952,non functional
30140,non functional
23296,functional
59327,functional
34823,functional
13244,functional needs repair
14675,functional
36360,functional
6592,non functional
45312,non functional
25635,functional
72352,functional
2427,functional
15178,functional
58115,non functional
38261,non functional
47744,functional
7464,non functional
8734,functional
57641,functional
3215,non functional
9793,non functional
4435,functional
32760,functional
11879,functional
10835,functional
14783,functional
51370,non functional
25132,functional
37522,functional
11736,functional
72024,functional
34272,functional
47471,non functional
48621,non functional
27378,non functional
42383,functional
74085,functional
27695,functional
10479,functional
59522,non functional
57162,non functional
28942,functional
20207,non functional
16679,functional
58277,non functional
47870,functional
3634,functional
7061,functional needs repair
21067,functional
31713,non functional
31034,functional
38383,functional
62237,non functional
29950,non functional
64684,non functional
6081,functional
3640,non functional
69862,non functional
11549,non functional
66603,functional
20685,non functional
20122,non functional
66753,non functional
55522,functional
38157,functional
44506,non functional
57174,functional
46378,functional
25232,functional
57258,functional
20382,non functional
26220,non functional
16438,non functional
7221,non functional
20028,functional
59420,functional
45510,non functional
14924,non functional
52979,functional
66498,functional
782,non functional
67735,non functional
28909,functional
44269,non functional
5759,non functional
22936,functional
60313,non functional
10242,non functional
46865,non functional
21141,functional
32361,functional
34176,non functional
18875,non functional
63993,functional needs repair
66976,functional
73056,functional needs repair
3402,functional
65763,functional
33725,functional
66518,functional
13536,functional
4841,non functional
14102,functional
20279,functional needs repair
30106,functional
48019,non functional
48536,non functional
37967,non functional
3236,non functional
10355,non functional
41454,functional
42642,functional
65474,functional
9937,functional needs repair
57556,non functional
40320,functional
59704,functional
19257,functional
25248,functional needs repair
20182,non functional
52629,non functional
7897,non functional
31727,functional
37557,functional
36547,non functional
53864,non functional
24543,functional
11916,functional
23866,functional
11191,functional
17596,functional
19273,non functional
43652,functional
68467,functional
48901,functional
64046,functional needs repair
68432,functional
62247,functional needs repair
50443,non functional
4295,functional
22881,non functional
43140,non functional
34482,non functional
72330,functional
13625,functional
5309,functional
30624,non functional
55188,non functional
39621,functional
58598,functional needs repair
17659,non functional
54610,non functional
60348,non functional
71813,non functional
57826,functional
12240,functional
7440,functional
21939,functional
36280,functional
2628,functional
66328,functional
11943,functional
35405,functional
26072,non functional
12040,functional
73528,non functional
16166,functional needs repair
54862,non functional
2756,functional
44054,functional
40419,functional
26897,non functional
8126,functional
42971,functional
45875,functional
30978,functional
29078,functional
74098,non functional
50311,functional
46277,functional
60272,functional
59728,functional
39005,functional
14652,non functional
26599,functional
24803,functional
12449,functional
61342,functional
26603,functional
31672,functional
58058,functional
72595,non functional
32983,functional
49240,non functional
54975,functional
7302,non functional
65041,functional
35761,non functional
53230,non functional
404,non functional
36603,functional
58473,non functional
27607,non functional
59507,non functional
2744,functional
52478,non functional
58963,functional
12928,functional
56501,functional
71889,non functional
1927,non functional
36380,non functional
64719,functional
30010,functional
39444,non functional
12696,functional
61141,non functional
17795,functional
38936,functional
21685,non functional
8575,non functional
73746,non functional
31106,non functional
41574,non functional
12811,functional
50675,functional
38619,functional
30131,non functional
6854,non functional
40354,non functional
60194,functional
66346,functional
6711,functional
8241,functional
50713,non functional
19318,functional
59560,functional
13831,non functional
30401,functional needs repair
27028,functional
42774,functional
15048,non functional
162,non functional
12089,functional
12538,functional
33153,non functional
19015,functional
4392,functional needs repair
29192,non functional
30026,functional needs repair
11198,non functional
27049,functional
5644,functional
33084,non functional
59428,non functional
73962,non functional
26797,functional
7064,functional
36602,non functional
21602,non functional
49973,non functional
13358,functional
7548,functional
38693,functional
61575,functional
15627,functional
60226,functional
28167,functional
9718,non functional
28807,non functional
989,functional needs repair
30073,non functional
10053,functional
13726,non functional
49121,non functional
28288,functional
62839,non functional
32975,non functional
37655,non functional
62761,non functional
46358,non functional
14825,non functional
68158,functional
64247,functional
35247,functional
10418,functional
56227,non functional
20133,functional
57658,functional needs repair
64972,functional
5091,functional
27035,functional
41163,functional
46676,functional
49438,non functional
67293,non functional
30658,functional
23410,non functional
65750,functional
68364,functional
48032,non functional
16995,non functional
67979,functional
64367,non functional
32057,non functional
20567,functional
61562,functional needs repair
52401,functional
50940,non functional
22644,non functional
54180,functional
69209,functional
30999,functional
20877,non functional
52367,non functional
18326,functional needs repair
24612,functional
28122,functional
8518,functional needs repair
53497,functional
47107,non functional
26018,functional
70103,functional
24633,non functional
39741,functional
55078,functional needs repair
67011,functional
37844,non functional
62624,functional
7501,non functional
71600,non functional
27475,non functional
18103,non functional
47995,non functional
70968,functional
23537,functional
44691,functional
9806,functional
48800,functional
35972,functional
10567,functional
52615,functional
57236,non functional
67291,functional
3084,functional
56042,functional
73471,non functional
38728,functional needs repair
57501,functional
64705,non functional
21497,non functional
29254,functional
121,functional
43858,non functional
40472,functional
48281,functional needs repair
300,functional
4004,functional
36323,non functional
54979,functional
23498,functional
1126,non functional
71279,non functional
33321,functional
4837,functional
43477,functional
13818,functional
61195,functional
21898,functional needs repair
69498,non functional
8804,functional
38861,functional
45423,functional
73214,functional
55618,non functional
69530,functional
35008,functional needs repair
3711,functional
65543,non functional
23382,functional
70653,functional
55676,non functional
63564,functional
16628,non functional
26100,functional
41722,non functional
51005,non functional
43124,functional
70946,non functional
69879,functional
57553,functional
2508,functional needs repair
16894,functional
24415,non functional
2997,functional
16540,functional
45895,non functional
41238,non functional
63140,functional
59265,non functional
18977,functional
56358,non functional
25237,functional
65529,functional
37694,functional
16712,functional
27616,functional
72859,functional
36181,functional
28526,functional
1972,functional
15199,non functional
22600,non functional
39730,non functional
64858,functional
5774,non functional
27633,functional needs repair
18678,functional needs repair
72755,non functional
62239,functional
20476,functional
24391,functional
6088,non functional
54890,non functional
10368,functional
48276,functional
66694,non functional
808,functional
51913,non functional
71026,non functional
47569,non functional
46705,non functional
5605,non functional
19861,non functional
3698,non functional
34840,non functional
1310,functional
21009,functional
40318,functional
50157,functional
18044,functional
73130,functional needs repair
27256,functional needs repair
24475,functional
4057,non functional
6381,non functional
61928,non functional
56187,functional needs repair
6219,non functional
40321,functional needs repair
41711,functional
58983,non functional
66308,functional
60026,functional
302,functional
60221,non functional
68663,functional
2706,non functional
17382,functional
63736,non functional
160,functional
29700,functional
60562,functional
69926,functional
44049,functional
3842,functional
8446,functional
21754,functional needs repair
47106,non functional
73911,non functional
8356,functional
53530,non functional
53671,functional
30802,functional
70699,functional
14747,non functional
19828,functional
47300,functional
46341,non functional
58738,functional
45712,non functional
65205,non functional
40659,functional
31693,non functional
61853,functional
70326,non functional
26725,functional
66782,functional
18640,non functional
5511,functional needs repair
70032,non functional
10524,functional
25925,non functional
47220,non functional
10407,non functional
14759,non functional
17217,non functional
70964,functional
41086,functional
31570,non functional
69989,functional
49093,functional
55010,functional needs repair
21481,functional
6787,functional
30787,non functional
57049,functional
36585,functional
56545,functional needs repair
6748,non functional
33902,functional needs repair
55261,functional
7677,non functional
12236,functional
54199,functional
54195,functional needs repair
47226,non functional
3967,functional
48703,functional
61170,non functional
42557,non functional
54068,functional needs repair
42012,functional
14864,functional
4877,non functional
20443,non functional
3222,functional
35527,functional
26074,functional
24707,functional
61095,non functional
27328,functional
14744,functional
16994,non functional
21160,non functional
54956,non functional
43031,non functional
72731,non functional
67175,non functional
3820,functional
3587,non functional
51731,functional
56096,functional needs repair
25585,functional needs repair
26902,non functional
61308,functional
49686,functional
16670,functional
70805,functional
2530,functional
60828,functional
15336,functional needs repair
73678,functional needs repair
67988,functional
72199,non functional
43216,functional
65123,non functional
20752,functional
45334,functional
68671,functional
17404,non functional
44266,functional
63916,non functional
51380,non functional
40168,non functional
58318,non functional
66143,functional
12213,non functional
37627,functional
27536,functional
3622,non functional
40265,functional
44928,functional
17511,functional
30535,non functional
33286,functional needs repair
1056,functional
28830,functional
48163,functional
30588,non functional
18596,functional
21433,functional
10115,non functional
47199,functional
20424,non functional
25797,functional
16643,non functional
12404,functional
60531,functional
59761,functional
7065,functional
54271,functional
59299,functional needs repair
14224,functional
51203,non functional
3636,non functional
49115,functional
28094,functional
64355,non functional
60694,non functional
42334,functional
68141,functional
53148,non functional
45612,functional needs repair
73881,functional
2823,functional
33063,functional
47063,functional
41921,functional
44641,functional
27782,functional
34562,functional
13172,functional
12664,non functional
59194,non functional
59598,non functional
18400,functional
16924,non functional
40293,non functional
43825,non functional
8802,functional
62988,non functional
24496,functional
25490,functional
36283,non functional
73747,non functional
14460,non functional
15965,functional
50975,functional needs repair
40442,functional needs repair
14371,non functional
42469,functional
74032,functional
45390,functional
8688,functional
3077,functional
8545,non functional
28686,functional
2781,functional
9760,non functional
28085,non functional
62348,functional needs repair
10415,non functional
64277,non functional
18608,functional
72084,functional
69497,non functional
73001,functional
32260,functional needs repair
25129,non functional
36407,functional
70825,functional
32826,functional
14164,non functional
19146,functional needs repair
35746,non functional
49813,functional
31928,functional
65771,non functional
67620,non functional
73918,functional
66344,non functional
32111,non functional
30601,non functional
46006,non functional
34793,functional
42271,non functional
67776,non functional
46019,functional
72052,functional
10634,functional
3010,functional needs repair
13225,functional
36989,functional needs repair
24009,functional
49765,non functional
27574,functional
63443,functional
68085,functional
70513,functional
44454,non functional
38549,non functional
26711,non functional
58008,non functional
59052,functional
56140,functional
40340,non functional
35396,functional
56724,functional needs repair
5126,non functional
4086,non functional
46338,non functional
36007,non functional
60700,functional
42243,functional
72173,functional
29424,functional
27268,functional
71861,functional
21681,functional
15339,non functional
1253,functional
16056,non functional
29388,functional
16692,functional
1064,non functional
21054,non functional
63537,functional needs repair
29716,functional
5260,functional
13958,functional needs repair
46803,non functional
73178,non functional
54167,non functional
11702,functional
5265,functional
21788,functional
63635,functional
11204,functional
50239,functional
7726,functional needs repair
8229,functional
52759,functional
68830,functional
74009,non functional
7486,non functional
24438,functional
70360,non functional
11558,functional
8409,non functional
29839,functional
58061,functional
469,functional
71687,non functional
41442,functional needs repair
69424,functional needs repair
19905,functional
32327,functional
58763,functional
44362,functional
22674,functional
48359,functional
24224,functional
13535,non functional
6082,non functional
1322,non functional
73698,functional
13420,non functional
32524,functional
33545,functional
28734,functional
49117,functional
45859,non functional
16057,functional
8615,non functional
34843,functional
47699,non functional
63344,non functional
64475,functional
35817,functional
42598,functional
50916,non functional
59549,functional
39693,functional
54877,functional needs repair
61103,non functional
39110,functional
10743,functional
68515,functional
34283,non functional
60297,non functional
16230,functional
8728,functional
46177,non functional
19256,functional
29122,functional
42795,functional
59654,functional
43153,functional
39275,functional
42655,functional
37232,functional
2586,non functional
35977,functional
48222,functional
34372,functional
29719,non functional
18793,functional
71606,functional
25578,functional
34291,functional
71047,functional
21015,non functional
41528,non functional
64559,functional
39589,non functional
67800,functional
48245,functional
48777,functional
9766,functional needs repair
66905,functional
27921,non functional
16091,functional
36012,functional
19701,functional
6236,non functional
39763,functional
24255,non functional
73949,functional
70194,functional
48265,non functional
15248,non functional
67948,non functional
37755,functional
20676,functional
40947,non functional
2747,functional
44154,functional needs repair
9593,functional
8498,non functional
68913,functional
67338,functional
65149,functional needs repair
24865,functional needs repair
8288,non functional
25650,non functional
37776,functional
58584,functional
70915,functional
30067,non functional
15398,non functional
15673,functional
45642,functional
32301,functional
68944,non functional
45881,non functional
70778,functional
51464,non functional
19401,functional
9953,functional
22911,functional
33314,functional needs repair
49228,non functional
41540,non functional
69364,functional needs repair
62609,functional
68219,non functional
10403,functional
73659,functional
32671,functional
69262,non functional
20411,non functional
69089,non functional
2335,functional
58852,functional
61733,functional needs repair
61741,functional
46384,functional
7105,functional needs repair
12078,non functional
6791,non functional
47945,functional
62723,functional
26387,functional
61055,non functional
65263,non functional
33783,non functional
56872,functional
50803,non functional
68547,functional
29258,functional
65732,functional
29444,functional
31422,functional needs repair
64715,functional
34394,functional
53533,non functional
10038,non functional
31795,non functional
40625,non functional
58783,non functional
30446,functional
8736,functional
29396,functional
50186,functional
66108,functional
56208,functional
28064,functional
44694,functional needs repair
70039,functional
41811,non functional
38856,functional
21693,functional
65248,non functional
57588,functional needs repair
20263,non functional
42023,non functional
64307,functional needs repair
20852,non functional
51968,functional
6363,functional
67196,functional
36234,functional
4732,non functional
48372,functional
70151,non functional
21672,functional
72032,functional
7356,functional
18295,functional
24741,functional
55358,non functional
72030,non functional
67516,non functional
27907,non functional
17425,non functional
38899,functional
17349,non functional
2616,non functional
4044,functional
6329,functional
54676,non functional
71899,functional needs repair
36123,functional
65121,non functional
20693,functional
1285,functional
23099,functional
29589,functional
47067,non functional
10677,non functional
61041,functional
3862,functional
29116,non functional
39221,functional
39017,functional
51396,non functional
48527,non functional
72518,functional
12520,non functional
3954,functional
7286,functional
23755,non functional
46503,functional
32256,functional
58202,non functional
4924,functional
24592,functional
1352,non functional
71413,functional
40304,non functional
19407,functional
13779,non functional
8762,non functional
58875,non functional
25658,functional
26395,non functional
36911,functional needs repair
51977,functional
63017,functional
20269,functional
68596,functional
46891,non functional
5206,functional
65128,functional
11617,non functional
72425,functional
2611,non functional
62703,functional
18445,non functional
49,functional
28172,functional
20516,non functional
30497,non functional
5683,functional
58993,non functional
28908,functional
5882,non functional
66208,functional
74199,non functional
30657,non functional
9290,non functional
15650,non functional
18923,functional
58987,functional
47555,functional
23472,non functional
51132,non functional
39669,functional
33533,functional
23110,functional
4626,non functional
59450,functional
31940,non functional
52998,non functional
34469,functional
73836,functional
38401,functional needs repair
46555,functional
10143,functional
49345,non functional
37247,non functional
72794,non functional
59205,functional
55573,functional
8685,functional
15171,functional
114,non functional
31738,functional
12333,functional needs repair
46685,functional
22225,non functional
12114,functional
49177,functional
40093,functional
2764,non functional
5331,functional needs repair
20537,functional
1052,functional
23281,non functional
45936,functional
48778,functional
29669,functional
49609,non functional
17227,non functional
13965,functional
37738,non functional
24030,non functional
2536,functional
53133,functional
66679,functional
61564,functional needs repair
66082,functional
14664,non functional
42696,non functional
54986,non functional
53531,functional
69316,functional
45569,functional
68582,functional
29619,functional
42896,functional needs repair
74163,functional
6009,functional
23642,functional needs repair
35136,functional
16077,functional
71383,functional
17341,functional
60042,functional needs repair
48478,functional
47045,functional
37099,functional
21540,functional
3602,functional
59297,functional
72729,functional
71596,non functional
35513,non functional
70120,functional
69042,functional
37075,functional
32710,functional needs repair
51922,functional
1331,non functional
32737,non functional
21194,non functional
32626,functional
17502,non functional
33999,functional needs repair
52668,functional
16884,functional
50746,functional
72570,functional
15892,non functional
35205,non functional
7032,functional
65991,functional
60838,functional
58761,non functional
69643,non functional
38795,functional
24078,functional
71240,functional
31599,non functional
46250,functional needs repair
63009,functional
3944,non functional
23816,non functional
5727,functional
64877,functional
17786,non functional
53081,non functional
52427,non functional
36605,non functional
67566,non functional
48855,functional
8170,non functional
3498,non functional
19681,functional
46626,non functional
68545,functional
48825,non functional
36491,functional
59554,functional needs repair
1946,non functional
33223,non functional
36052,non functional
9943,non functional
27060,non functional
38186,non functional
46417,functional
30374,functional
40635,non functional
50831,non functional
64517,functional
31739,functional
33689,functional
60308,non functional
15010,functional
34709,non functional
29535,functional
760,non functional
53795,functional
52328,non functional
43314,functional needs repair
60812,non functional
18396,functional
70498,functional
34103,functional needs repair
55468,functional
67118,functional
68761,functional
17230,functional
35656,functional
69674,functional
39972,functional
1872,functional
16454,functional
5056,functional
1278,functional
64092,functional
51584,non functional
73094,functional
62949,functional
62453,non functional
36936,non functional
9423,functional
18734,functional
57900,functional
64382,functional
24885,functional
23754,non functional
34773,functional
6051,functional
10084,functional needs repair
3800,non functional
9421,functional
12968,non functional
2429,functional
24779,non functional
59931,functional
71486,functional
55435,functional
73597,non functional
12561,functional
26757,non functional
58274,functional
59964,functional
43657,functional
24419,functional
55900,functional
69414,non functional
66517,non functional
22750,functional
40119,functional
1378,functional
8306,non functional
1729,non functional
20124,functional
69596,non functional
43780,functional
8524,non functional
40169,non functional
48829,functional needs repair
17592,non functional
5610,functional
69840,functional
23031,functional
65730,functional
9875,functional
11762,functional
52446,functional
54095,non functional
22457,functional
46146,functional needs repair
59509,non functional
16964,non functional
49067,functional
16054,functional
63830,functional
37730,non functional
70551,non functional
39803,functional
29210,functional
51322,non functional
9269,functional
16548,non functional
298,functional
19773,functional
62386,functional
18662,functional
30712,non functional
13669,functional
38764,functional
22786,non functional
18580,functional
13149,non functional
14213,functional
9339,functional
42009,functional
33598,functional
53365,functional
64345,functional
62873,functional
54639,non functional
29364,functional
25613,functional
17775,non functional
66837,non functional
73444,non functional
11791,non functional
18851,functional
13531,functional
33218,non functional
34591,non functional
17608,functional
56368,functional
15201,non functional
37107,non functional
29689,non functional
39780,functional
47743,functional
44390,non functional
11007,functional
24569,non functional
17128,non functional
16564,non functional
58402,non functional
65124,non functional
33458,non functional
22757,functional
46609,functional
40026,functional
29809,functional
59655,non functional
5957,functional
791,non functional
48120,functional
21211,non functional
71937,non functional
53534,functional
7824,functional
52997,non functional
1679,functional
34874,functional
17594,functional
71362,functional
10980,non functional
69845,non functional
67057,functional
5684,functional
5473,non functional
22829,non functional
1481,functional
16659,functional
22686,non functional
65879,functional
45814,non functional
13459,non functional
51323,non functional
16187,functional
13925,functional
27058,non functional
29968,functional
30211,non functional
66246,non functional
4858,functional
73811,non functional
20913,functional
48128,functional needs repair
73411,functional
8998,non functional
15681,non functional
4824,functional
70636,functional
70111,non functional
64646,non functional
17390,functional
51948,functional
4729,non functional
2068,non functional
70842,functional
51850,functional
6942,non functional
11597,non functional
63913,non functional
50893,functional
38442,functional needs repair
1152,functional
50243,functional
65695,non functional
34520,functional
49477,non functional
36565,functional
22484,functional
65741,functional
28203,non functional
53655,non functional
12517,non functional
70331,non functional
3545,non functional
8118,functional
29923,functional
52982,functional
68025,non functional
7376,functional
5323,functional
33977,non functional
454,functional
14083,functional
53978,functional
64133,functional
2343,functional needs repair
53539,non functional
65397,non functional
46545,functional
41119,functional
32649,functional
14405,functional needs repair
2351,non functional
56602,functional
72508,functional
7405,functional
39007,functional needs repair
10631,functional needs repair
60062,non functional
25222,functional
21514,functional
73526,functional
18574,functional
51717,non functional
72904,non functional
16619,functional
61583,functional
9037,functional
34744,functional
40771,non functional
39732,functional
58521,non functional
12351,functional needs repair
25138,non functional
59535,functional
59719,functional
2115,functional
72415,functional
43697,non functional
53275,non functional
34157,functional
15777,functional
46537,functional
71467,functional
19894,functional
40985,non functional
21597,non functional
47833,functional
65479,functional
34021,functional
71609,non functional
35267,functional
23660,functional
53556,functional
51237,functional
8167,functional needs repair
46173,functional
47224,non functional
55324,non functional
67206,functional
44514,functional needs repair
67521,non functional
64265,functional
24652,functional
64866,functional
38266,functional
59596,functional
37259,functional
65798,functional
3087,functional
64534,functional
30059,non functional
64248,functional
5027,functional
35632,functional
19206,functional
40243,non functional
22471,non functional
23025,functional
2950,functional
60320,functional
6099,functional
14939,non functional
21554,non functional
17527,functional
22086,functional needs repair
9602,functional
43313,functional
73154,functional
51747,non functional
69169,non functional
2507,functional
42514,functional
59168,functional
69793,non functional
39038,functional
50875,non functional
343,non functional
30507,non functional
40018,functional
45821,functional needs repair
10945,functional
67192,non functional
27313,non functional
56737,functional
1690,functional
34121,non functional
22015,functional
48151,non functional
62139,functional
54307,functional
7676,non functional
34352,non functional
70117,non functional
18327,non functional
57797,functional
48288,functional
63945,functional
22212,functional
69573,functional
10564,functional needs repair
26793,functional
16342,functional
8408,functional
11571,functional
56829,non functional
39874,functional
44298,functional
51136,non functional
18188,functional
55262,non functional
59566,functional
5145,non functional
57135,functional
58654,non functional
9437,non functional
71224,non functional
31371,functional
60750,functional needs repair
26105,non functional
9412,functional
22621,functional
9878,functional
73452,functional
11063,functional
40401,functional
45793,functional
55649,non functional
66935,functional
10060,functional
36145,functional
41414,non functional
37390,non functional
5713,functional
44949,non functional
65953,functional
28361,non functional
48938,functional
19186,non functional
37162,functional
39382,non functional
41404,non functional
18749,functional
25740,non functional
18811,functional
46621,non functional
34044,non functional
46191,functional
9485,functional
35829,functional
24212,non functional
4625,functional
13896,functional needs repair
35975,non functional
31512,non functional
57717,non functional
46691,functional
68645,functional
42813,functional
15476,functional
73084,non functional
21849,non functional
34771,non functional
73835,non functional
5880,functional
33255,non functional
11315,functional
44984,non functional
8093,functional
60975,functional
16512,functional
36852,functional
33714,functional
58412,functional
64008,functional
4097,functional
6040,functional
58781,functional
40975,functional
71480,non functional
53007,functional
30912,non functional
51046,functional
16510,non functional
18314,non functional
18416,non functional
72550,functional needs repair
66542,functional
51937,functional needs repair
59114,functional
41096,non functional
69649,functional
26388,functional
15451,functional
48279,functional
13939,functional
33739,functional
5640,non functional
49718,functional
52113,non functional
3829,non functional
64058,functional
44962,non functional
20194,functional
27504,functional
73902,non functional
26551,functional needs repair
